Artist	Title	Price	Slug
George Hetzel (American, 1826 - 1899)	Woodland Stream		george_hetzel_wooded_stream-html
George Hetzel (American, 1826 - 1899)	Stream in Woodland Clearing		george_hetzel_woodland_stream-html
Charles Wilson Knapp (American 1823 - 1900)	Pastoral Landscape		charles_wilson_knapp_landscape-html
Daniel Charles Grose (American 1838 - 1900)	View of the U.S. Capitol		daniel_charles_grose_capitol-html
Daniel Charles Grose (American 1838 - 1900)	Creek in Fall Landscape		daniel_charles_grose_fall-html
Daniel Charles Grose (American 1838 - 1900)	Hudson River View		daniel_charles_grose_hudson-html
Daniel Charles Grose (American 1838 - 1900)	Water Lilies, Hudson River		daniel_charles_grose_lillies-html
Daniel Charles Grose (American 1838 - 1900)	White Mountains – Island Pond	$1,300	daniel_charles_grose_mountains-html
William Holbrook Beard (American, 1825 - 1900)	Squirrel and Turtle		william_holbrook_beard_squirrel-html
William Louis Sonntag (American 1822 - 1900)	Landscape	$27,500	william_louis_sonntag_landscape-html
Charles Henry Eaton (American, 1850 - 1901)	Last Days of Summer	$6,900	charles_harry_eaton_summer-html
Charles Henry Eaton (American, 1850 - 1901)	Apple Orchard	$3,600	charles_henry_eaton_apple-html
Edward Mitchell Bannister (American 1828 - 1901)	River at Dusk		edward_mitchell_bannister_river-html
Edward Moran (American, 1829 - 1901)	Breakers at Sunset		edward_moran_breakers-html
Edward Moran (American, 1829 - 1901)	Sailboat at Sunrise		edward_moran_sailboat-html
James McDougal Hart (American 1828 - 1901)	Landscape with Rocks and Trees	$6,000	james_mcdougal_hart_landscape-html
Louis-Lionel Stern, (American, born 1901)	Statue of Liberty		louis_lionel_stern_statue_of_liberty-html
Virgilio Tojetti (Italian - American, 1849 - 1901)	Two Putti, 1899	$2,500	virgilio_tojetti_putti-html
Edward Chalmers Leavitt (American, 1842 - 1902)	Still-life with Currants		edward_chalmers_leavitt_currants-html
Edward Chalmers Leavitt (American, 1842 - 1902)	Still Life with Grapes		edward_chalmers_leavitt_grapes-html
Edward Chalmers Leavitt (American, 1842 - 1902)	Pear, Apple, Grapes and Clay Cup		edward_chalmers_leavitt_pear-html
Edward Chalmers Leavitt (American, 1842 - 1902)	Still-life with Cantaloupes, Grapes and Peaches		edward_chalmers_leavitt_still_life-html
Edward Chalmers Leavitt (American, 1842 - 1902)	strawberries		edward_chalmers_leavitt_strawberries-html
Ellen Malvino Pomeroy (American 1841 - 1903)	Shenandoah Valley		ellen_malvino_pomeroy_valley-html
